,Linear Regression,Ridge Regression,LASSO Regression,Quadratic Regression,Random Forest Regression,Gradient Boosting Regression
"125 St (A,B,C,D)",0.6808975533873518,0.6809744343248934,0.6736301030862517,0.7713866401895622,0.6829092359942679,0.6844073133446511
"135 St (2,3)",0.6786079867622645,0.6785468464648826,0.657350791658909,0.7900679229789006,0.7119492217990632,0.6939550050417314
"135 St (B,C)",0.6421284224177137,0.6419821112116062,0.5950788806422711,0.761161773238381,0.6732018015089293,0.6556632837605404
137 St-City College (1),0.6687888201613594,0.668725321569636,0.6514810196815419,0.7572662737744055,0.6785169152926385,0.6662925111866924
"138 St-Grand Concourse (4,5)",0.6767299650842845,0.676602244547883,0.5950389294110219,0.785796255058171,0.7129245909910578,0.7061805184354608
"14 St (A,C,E)/8 Av (L)",0.703228645366825,0.7034464181771755,0.7027464497784492,0.7658019411526592,0.6796447850866225,0.707442973257862
"14 St (F,M,1,2,3)/6 Av (L)",0.6289710737991446,0.6291767346327904,0.6272518137803769,0.6948228196925008,0.5869502686639896,0.6324154338738148
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",0.7078110557130235,0.707986249498436,0.7074836642201194,0.7668021438753966,0.6771303633793714,0.7089473545051599
145 St (1),0.6618935068635027,0.6618346573976912,0.6368413322152828,0.7738999766427811,0.7193753985076449,0.6762116118158189
145 St (3),0.6249803705871706,0.6250376019502635,0.5397799320738736,0.7775549756584381,0.7128233940628862,0.6960425170472552
"145 St (A,B,C,D)",0.6537389276204201,0.6538281090052749,0.6458416499064077,0.7538876722124583,0.6720887467316963,0.6634094287675439
"149 St-Grand Concourse (2,4,5)",0.6627693462778596,0.6627899585220107,0.640009917157221,0.7593246322161423,0.6791592067391106,0.6851464178469936
"15 St-Prospect Park (F,G)",0.5419270224290338,0.5420851622355989,0.5191285463870101,0.7268271363140358,0.6288466411296117,0.6500108467591179
"155 St (B,D)",0.6713731717836657,0.6713479363298094,0.5650605564027056,0.7996262120833186,0.7359156673562108,0.7261010021869586
155 St (C),0.6146291133907036,0.6146074856501363,0.47470972336200046,0.7481516524795531,0.6825431656323357,0.6617766675365497
157 St (1),0.68446226243036,0.684700040410755,0.6620222497867363,0.7837385823223121,0.725408109846396,0.6933089624005352
"161 St-Yankee Stadium (B,D,4)",0.14671048385957486,0.14669472680056084,0.14367141106784231,0.18987930159204336,0.04050357005080529,0.16708456150657358
163 St-Amsterdam Av (C),0.6577756887738953,0.6578328773631643,0.5808894220404526,0.7644298026052497,0.6924541909845865,0.687526344385464
167 St (4),0.7010809226458647,0.7013669949910937,0.6797733709596898,0.7957810575393827,0.7361495778108542,0.7254034683984361
"167 St (B,D)",0.7079731491836123,0.7078708881896765,0.6767183651118365,0.8030414030952913,0.7363731382151382,0.7302215993443679
"168 St (A,C,1)",0.6783645556767463,0.6785403142588828,0.6745150290524857,0.7838606030718663,0.6993101279796554,0.714527205361539
169 St (F),0.6783923465669865,0.6782136114116342,0.6440353345678153,0.7822563638279643,0.7129971974947433,0.6995672427547417
170 St (4),0.6954158045281748,0.6955608280336412,0.6619060332373045,0.8028826785176483,0.7449946685998835,0.7318936172665975
"170 St (B,D)",0.7100724843135885,0.7099675382350248,0.6748452988637998,0.8215939072937951,0.7484007528165173,0.7598951501976684
"174 St (2,5)",0.68685931099916,0.6869230519559549,0.6367181228067048,0.8085787228059756,0.7434064172294044,0.7239530122358147
"174-175 Sts (B,D)",0.708770076348129,0.7087487867474687,0.6410894262659037,0.8068055788877556,0.7347141278339417,0.7296073501969362
175 St (A),0.6365270925119044,0.6364534734731522,0.6172174248897355,0.7637411638045747,0.7043878300840007,0.6800792437551955
176 St (4),0.7020818152256055,0.7019976162976906,0.6480136298468474,0.804677557511668,0.7422780291539701,0.7349217951304687
18 Av (D),0.6850569114988139,0.6848641993676112,0.6569613304369277,0.814664872251293,0.761964148189039,0.7579985839199318
18 Av (F),0.6750636894539143,0.6747213742673047,0.6118628151535683,0.7902745984636259,0.723097862370918,0.7187940577927283
18 Av (N),0.6910237020257421,0.6909047984570638,0.6541457008474227,0.7958865362745606,0.7350314151965877,0.7249011851811604
18 St (1),0.6409094988639462,0.6408367944241037,0.6175458036967125,0.7254830724446182,0.6393137817669763,0.6589262503484801
181 St (1),0.6382603019893858,0.6381046585352099,0.616035666492726,0.7289235464483123,0.6509004564858911,0.6387405959055872
181 St (A),0.6824164466204994,0.6823559847472233,0.6664893564111176,0.8241047967789435,0.7753815392625619,0.7475353186381501
"182-183 Sts (B,D)",0.7236746592782517,0.7235310549396189,0.6665525090350004,0.8162678385037279,0.7537273035569179,0.7563107016989574
183 St (4),0.6896335539452924,0.6896370128368674,0.6520182810278978,0.7957816432835162,0.7316672540292275,0.7411931721088927
190 St (A),0.594972284860591,0.5948054438514324,0.5503320973912581,0.7541884027756782,0.6878310857901434,0.6601059562994357
191 St (1),0.6617411091420469,0.6616516094673167,0.6344180042848253,0.7636228821814268,0.6845461806774908,0.6909089441156431
2 Av (F),0.5645933149156744,0.5648432191739703,0.5606598986444745,0.6863778503093632,0.5924296131283404,0.5931509218573155
20 Av (D),0.674176956796777,0.6739409166602243,0.637748102063633,0.8217257652349181,0.7900350462017326,0.7621384901815644
20 Av (N),0.6791438342602398,0.6793429518777226,0.644249684233234,0.8064149408053628,0.7511141422042681,0.7467099233404106
207 St (1),0.6677671576710645,0.667733961733298,0.62065413580801,0.7736504931689097,0.700076111529855,0.6841716826998159
21 St (G),0.5709582778179365,0.5709035936545579,0.48113693538586944,0.6452211293563971,0.5694222088249563,0.5934553130250858
21 St-Queensbridge (F),0.7266989783179323,0.7263515712782747,0.7022440213337477,0.8215861740246482,0.7585189618381896,0.7298067559074221
215 St (1),0.5532450239222273,0.5532108553821158,0.409430086489042,0.6430175678397022,0.5711040041097938,0.5803111277510822
"219 St (2,5)",0.6674743728292075,0.6672668016817993,0.5756368185206893,0.8172232025457232,0.7685968694765469,0.7628217726812706
